category,date,total_spend,YYYY,MM
Other Professional Services,2014-02-01,91842.43,2014,2
Fire Service Radio Equipment - Purchase,2011-08-01,3401.56,2011,8
Voluntary Driver Payments,2014-08-01,13824.83,2014,8
Private Finance Initiative Payments,2014-07-01,1033636.63,2014,7
Alterations To Service - Gas,2012-10-01,385100,2012,10
Grants,2012-02-01,445,2012,2
Payments to Organisations Providing Services To NCC,2012-06-01,73264.6,2012,6
Medical Requisites & Drugs Etc,2012-11-01,1087.77,2012,11
Management Fees - Performance,2013-11-01,325737.6,2013,11
Advanced Driving Instructor Fees,2011-03-01,8760,2011,3
Newspaper Filming,2014-04-01,5107.1,2014,4
Payments to Organisations Providing Services To NCC,2011-01-01,2591074.86999998,2011,1
Free Nursing Care  - High Band,2013-08-01,1813.2,2013,8
Actuarial Fees - Frs17,2014-08-01,15120,2014,8
Long Term Residential Care,2012-03-01,6019989.54,2012,3
Care Leavers Independent Living Grant,2014-02-01,2246,2014,2
Direct Payments - Short Term Break,2012-04-01,842.5,2012,4
Construction - Enabling Works,2013-12-01,45950,2013,12
Bmpp Reroofing,2014-01-01,7026.3,2014,1
Bank Charges,2013-02-01,872,2013,2
Minor Building Repairs,2012-04-01,38175.14,2012,4
Agency Staff - Operational APT&C,2011-05-01,58507.06,2011,5
Private Contractor Subsidy Payments,2011-09-01,527257.14,2011,9
Highway Kerb Footway and Cycleway Repairs,2012-11-01,15169.72,2012,11
Private Finance Initiative Payments,2011-01-01,763723.63,2011,1
Highway Road Markings,2013-02-01,-62995.71,2013,2
Staff Public Transport Costs,2012-10-01,36851.62,2012,10
Supporting Families with Disabilities - Domiciliary Care,2012-05-01,634.87,2012,5
Services Provided By Landlord,2013-07-01,16306.13,2013,7
Learning Resources Purchases,2011-11-01,593.58,2011,11
Highway Verge Hedge and Tree Maintenance,2011-11-01,537.87,2011,11
Bmpp Boiler Servicing,2014-03-01,109280.77,2014,3
Highway Patching to Carriageway and Footway,2013-05-01,269,2013,5
Management Fees - Performance,2014-01-01,838260.53,2014,1
Site Works - Land,2014-02-01,575,2014,2
Agency Staff - Sessional Tutors,2013-04-01,1339.14,2013,4
Cleaning Materials Purchases,2013-11-01,4137.3,2013,11
Personal Budget - Domiciliary Care,2012-10-01,122105.6,2012,10
Section 17 Financial Assistance,2014-01-01,810.74,2014,1
Bmpp Building Repairs,2013-04-01,37985.41,2013,4
Highway Patching to Carriageway and Footway,2013-04-01,55,2013,4
Vehicle Abuse/Wear & Tear Costs,2013-01-01,135.02,2013,1
Staff Medical & Eyesight  Fees,2011-03-01,68814.84,2011,3
Vehicle Repair Costs,2014-05-01,1259.46,2014,5
Care Leavers Rent & Accommodation,2012-12-01,36715.68,2012,12
Highway Winter Salt Usage,2011-05-01,3657.36,2011,5
Bmpp Building Repairs,2013-05-01,25567.83,2013,5
General Equipment/Tools/Materials-Repairs,2011-03-01,927.8,2011,3
Reroofing,2011-11-01,20788.15,2011,11
Library Books - Large Print,2011-11-01,2424.51,2011,11
Agency Staff - Sessional Tutors,2013-05-01,6477.38,2013,5
Office Equipment & Supplies,2011-07-01,16818.09,2011,7
Contract Transport  Hire,2011-05-01,5942730.93,2011,5
ICT Equipment Purchases,2013-08-01,95606.59,2013,8
Counsel's Fees,2011-03-01,55826.6,2011,3
V.D.P. Publicity,2011-02-01,120,2011,2
Alterations To Service - Electricity,2011-05-01,2153,2011,5
Bmf Tank Clean/Water System Disinf,2014-07-01,3597.28,2014,7
School Equipment Inspection/Testing,2012-08-01,10933.3,2012,8
Equipment Repairs Maintenance & Servicing,2011-03-01,6361.98,2011,3
Day Care / Supported Activities,2012-11-01,245890.03,2012,11
Premises Staff Overtime,2011-02-01,1231.3,2011,2
Bmf Gas Appliances & Repairs Test,2013-09-01,540.59,2013,9
Bmf Plant Replacements,2014-03-01,3824.46,2014,3
Agency,2013-08-01,2430.72,2013,8
Direct Materials,2011-03-01,5044.77,2011,3
Highway Traffic Signals and Systems Outstation Communication Maintenance,2011-12-01,2419.8,2011,12
Bmpp Reroofing,2013-11-01,1992.72,2013,11
Vehicle  Leasing Costs,2014-03-01,46468.48,2014,3
Furniture Purchases,2012-10-01,1942.84,2012,10
Bmpp Plant Replacements,2013-02-01,9811.07,2013,2
Caretakers,2012-08-01,281.68,2012,8
DVD'S,2012-05-01,4753.68,2012,5
Highway Street Lighting Non-Routine Maintenance,2012-03-01,9948.8,2012,3
Highway Safety Barriers,2013-09-01,10176.68,2013,9
Contract Cleaning-Non NCS,2011-01-01,650,2011,1
Refuse Collection Costs,2011-11-01,3371.73,2011,11
Buildings Fixtures & Fittings,2012-05-01,438,2012,5
Direct Payment - Domiciliary Care,2014-03-01,2780.03,2014,3
Escorts (Home to School Transport),2012-10-01,344,2012,10
Private Finance Initiative Payments,2014-03-01,167744.76,2014,3
Agency Staff - Panel Funded Staff,2011-03-01,87.82,2011,3
Bmf Fire Alarms,2014-04-01,9235.03,2014,4
Construction Costs - Roads,2012-03-01,3097028.51,2012,3
Conservation Material,2012-08-01,725.22,2012,8
Environmental Health Officer - Kitchen Improvements,2011-07-01,1883,2011,7
Witnesses Expenses and Reports,2011-03-01,16091.65,2011,3
Waste Disposal & Recycling Payments,2012-04-01,612,2012,4
Personal Budget - Domiciliary Care,2011-10-01,50690.03,2011,10
Certificate - Environment Control Systems,2011-11-01,23693.64,2011,11
Subscriptions To Other Libraries,2014-04-01,4755,2014,4
Office Library Textbooks,2011-04-01,6795.6,2011,4
Housing Related Support-Other Bodies,2014-02-01,153896.49,2014,2
Library Books - Junior Non Fiction,2013-10-01,7779.49,2013,10
Payments to Organisations Providing Services To NCC,2014-03-01,1290791.11,2014,3
Cleaning Materials Purchases,2013-02-01,1712.08,2013,2
Enquiry Agents Fees,2012-03-01,1582.65,2012,3
Cost of Licenses & Subscriptions,2011-03-01,13531.25,2011,3
Non Staff Course Conference & Subsistence Expenses,2011-03-01,14310.13,2011,3
Subscriptions To Other Libraries,2012-08-01,817.75,2012,8
Contract Plant & Machinery Hire,2011-06-01,118339.42,2011,6
Structural Building Work,2011-08-01,34612.4,2011,8
Highway Traffic Signals and Systems Accident Damage,2011-04-01,8488.48,2011,4
Buildings - External Redecoration,2011-10-01,1214,2011,10
Highway Patching to Footway,2013-08-01,105861.32,2013,8
Child In Care Residential Education Only,2013-04-01,19646.41,2013,4
Bmf Security Systems,2013-08-01,2786.48,2013,8
ICT System Improvements,2014-08-01,12197.25,2014,8
Bmpp Plant Replacements,2013-11-01,16076.71,2013,11
Homelessness Support Child In Need,2012-04-01,1080,2012,4
Vehicles Purchases,2011-09-01,4235.78,2011,9
Bank Charges,2014-01-01,3323.58,2014,1
Bmpp Reroofing,2013-02-01,4294.24,2013,2
Software Purchases,2011-06-01,2657.86,2011,6
Schedule of Rates Vehicle Maintenance,2014-02-01,10643.38,2014,2
Child In Care Residential Education Only,2013-05-01,15126.72,2013,5
Purchase Of Books,2012-12-01,2854.47,2012,12
Furniture Purchases,2011-10-01,976.5,2011,10
Landfill Leachate Costs,2014-02-01,877.82,2014,2
Care Leavers-Education/Training,2014-02-01,955.32,2014,2
Estate / Site Management Costs,2012-12-01,105645.53,2012,12
Fire Service Radio Equipment - Running Costs,2014-05-01,14557,2014,5
Foster Care Retainer Pay,2013-03-01,7325.41,2013,3
Child In Care Residential School 52 Week In Norfolk,2012-05-01,118152.32,2012,5
Escorts (Home to School Transport),2011-10-01,1745,2011,10
Voluntary Driver Payments,2013-09-01,7909.98,2013,9
Personal Budget - Domiciliary Care,2014-02-01,296271.78,2014,2
Bmpp Gas Pressure Testing,2014-05-01,1628.57,2014,5
Vehicle Repair Costs,2013-11-01,11305.73,2013,11
"Broadband, Virtual Private Network & Leased Lines",2014-04-01,50241.17,2014,4
Direct Payments - Short Term Break,2012-08-01,1015.56,2012,8
Private Voluntary Independent School Pre-school & Playgroup,2013-01-01,465043.8,2013,1
Minor Building Repairs,2012-08-01,44633.75,2012,8
Residence Order Allowance,2012-02-01,2890.8,2012,2
Temporary Staff Admin & Clerical,2011-08-01,5634.52,2011,8
Free Nursing Care,2011-03-01,154564.269999999,2011,3
Construction Costs - New Buildings,2011-01-01,119778.05,2011,1
Photocopying - General,2011-04-01,21143.32,2011,4
Supported Living,2011-01-01,1161805.54,2011,1
Direct Payments - Short Term Break,2014-04-01,2127.84,2014,4
Contract Plant & Machinery Hire,2011-07-01,141087.28,2011,7
External Examinations Fees,2013-08-01,6208,2013,8
Purchase Of Furniture,2013-10-01,46992.79,2013,10
Service Level Agreement With Organisations Providing Services to NCC,2013-09-01,330394.44,2013,9
Newspaper Filming,2012-04-01,3227.91,2012,4
Bmpp Electrical & Mechanical Maintenance,2012-12-01,7143.01,2012,12
Premises Manual,2011-11-01,457.84,2011,11
Cleaning Materials Purchases,2014-05-01,63.2,2014,5
Fixed Price Vehicle Maintenance,2014-03-01,42188.88,2014,3
Bmpp Reroofing,2014-05-01,2147.32,2014,5
Mobile Phone Call Charges,2011-04-01,514.75,2011,4
Air Travel,2011-05-01,1060.29,2011,5
Hospitality Expenses,2013-12-01,979.36,2013,12
Highway Drainage Rodding and Jetting,2014-08-01,286.12,2014,8
Highway Pothole Repairs,2013-02-01,4435.32,2013,2
Supported Living,2012-06-01,1106450.19,2012,6
Bmpp External Redecoration,2013-09-01,35716.99,2013,9
Recharge Office Accommodation,2012-01-01,3764.8,2012,1
Highway Traffic Signals and Systems Energy,2012-04-01,14191.23,2012,4
Private Contractor Subsidy Payments,2011-12-01,293374.57,2011,12
Other Capital,2012-11-01,216,2012,11
"Awards Or Grants For School Children, Students & Learners",2014-02-01,12610,2014,2
Fire Service Radio Equipment - Running Costs,2013-02-01,23439.74,2013,2
Support Staff Overtime,2012-08-01,2241.48,2012,8
Catering Supplies,2011-04-01,230.6,2011,4
ICT Software Purchases Licenses & Maintenance,2012-12-01,73854.66,2012,12
Linen & Laundry,2011-03-01,1377.92,2011,3
Construction Costs - New Buildings,2012-06-01,5317,2012,6
Fees & Charges,2011-05-01,612734.18,2011,5
Furniture Purchases,2014-02-01,12350.7,2014,2
Schedule of Rates Vehicle Maintenance,2011-10-01,6333.5,2011,10
Supported Living,2014-07-01,969032.289999999,2014,7
Personal Needs Of Client,2011-02-01,1214,2011,2
Landfill Leachate Costs,2011-10-01,41841.34,2011,10
Care Leavers-Education/Training,2011-10-01,1440,2011,10
Fees/Expenses - Other Consultants,2011-03-01,68005.76,2011,3
Highway Lighting Repairs,2014-03-01,14212.74,2014,3
Consultants Fees and Charges,2011-01-01,6200,2011,1
Bmf Boiler Servicing,2014-07-01,34146.13,2014,7
Housing Related Support-Other Bodies,2012-10-01,13958.23,2012,10
Highway Weed spraying,2013-01-01,29551.17,2013,1
Plant Replacements,2011-08-01,57843.44,2011,8
Tree Planting/Landscaping,2012-10-01,420,2012,10
Arts Grants,2011-04-01,1452.43,2011,4
Interest Paid on External Loans,2012-06-01,259102.74,2012,6
Sessional Fees,2013-05-01,104744.71,2013,5
Other Vehicles Running Costs,2013-07-01,4741.65,2013,7
Contract Cleaning & Other Cleaning Services,2013-03-01,2255.33,2013,3
Office Equipment & Supplies,2011-06-01,4052.2,2011,6
Free Nursing Care  - High Band,2012-05-01,598.4,2012,5
Purchase Of Furniture,2011-02-01,50001.84,2011,2
Sessional Fees,2013-04-01,108362.75,2013,4
Personal Budget - Day Care,2013-01-01,104222.37,2013,1
Books and Publications,2011-06-01,561.6,2011,6
Alterations To Service - Telecom,2014-01-01,42753.56,2014,1
Interpreters,2014-01-01,1763.91,2014,1
Vehicle Repair Costs,2013-02-01,2967.81,2013,2
Catering Supplies,2013-06-01,310.5,2013,6
Construction - Enabling Works,2011-08-01,4000,2011,8
Purchase Of IT,2012-03-01,129799.98,2012,3
Other Hired & Contracted Services,2013-05-01,467398.71,2013,5
Purchase Of Equipment,2014-03-01,10310,2014,3
Highway Street Lighting Energy,2014-04-01,798799.85,2014,4
Fire Service Radio Equipment - Running Costs,2013-11-01,17810.08,2013,11
Consultants Fees and Charges,2014-07-01,2800,2014,7
Bmf Building Repairs,2014-04-01,9821.62,2014,4
Equipment Leasing Costs,2011-10-01,2348.79,2011,10
Staff CRB/Police Reports,2011-05-01,16162,2011,5
Highway Pothole Repairs,2013-11-01,6683.78,2013,11
Public Inquiry Costs,2012-09-01,106177.73,2012,9
Other Hired & Contracted Services,2013-04-01,388705.43,2013,4
Accreditation Scheme Payments,2011-03-01,276616.02,2011,3
Highway Traffic Signals and Systems Non-Planned Maintenance,2011-03-01,3606.74,2011,3
Library Books - Junior Fiction,2014-06-01,1063,2014,6
Bmpp Plant Replacements,2014-05-01,19932.72,2014,5
Schedule of Rates Vehicle Maintenance,2012-10-01,48916.67,2012,10
Landfill Leachate Costs,2012-10-01,61426.62,2012,10
Highway Street Lighting Energy,2012-08-01,106801.91,2012,8
Consultants Fees and Charges,2012-06-01,11789.78,2012,6
Bmpp External Redecoration,2014-08-01,13770.5,2014,8
Estate / Site Management Costs,2011-02-01,7528.7,2011,2
Alterations To Service - Telecom,2013-11-01,582.64,2013,11
DVD'S,2013-08-01,12375.29,2013,8
Agency Staff - Permanent Teachers,2013-09-01,6680.03,2013,9
Highway Traffic Signals and Systems Planned and Contracted Maintenance,2011-03-01,52327.55,2011,3
Homelessness Support Child In Need,2012-08-01,7291.66,2012,8
Private Contractor Subsidy Payments,2012-02-01,317268.3,2012,2
Highway Drainage Rodding and Jetting,2013-09-01,30301.39,2013,9
Book Stationery,2013-05-01,1864.9,2013,5
Education (Schools) Recoupment Payments,2013-06-01,89398.48,2013,6
Fixed Price Vehicle Maintenance,2011-01-01,27529.23,2011,1
ICT Equipment Purchases,2012-05-01,393114.71,2012,5
Other Professional Services,2011-10-01,355605.64,2011,10
Non Staff Advertising - Discretionary,2012-10-01,34461.13,2012,10
Laboratory Testing -Pre Works,2011-08-01,834.73,2011,8
Compensation Loss of Office,2013-04-01,752.5,2013,4
Bmf Fencing,2013-04-01,9850.73,2013,4
Book Stationery,2013-04-01,1988.66,2013,4
Supported Living,2014-03-01,1154348.01,2014,3
Care Leavers Rent & Accommodation,2013-10-01,97879.76,2013,10
Library Books-Adult Non Fiction,2012-01-01,18197.71,2012,1
Fixed Price Vehicle Maintenance,2012-06-01,6315.19,2012,6
Residence Order Allowance,2011-12-01,1634.74,2011,12
"Internal Recharge Environment, Transport & Development",2014-08-01,520,2014,8
Care Leavers Independent Living Grant,2011-10-01,622,2011,10
Other Expenses,2013-03-01,18469.06,2013,3
Fire Service Radio Equipment - Running Costs,2014-01-01,38842.41,2014,1
Rents and Hire of Premises & Facilities,2012-09-01,200433.18,2012,9
Admin/ Chief Officers - Scale K and Above,2011-03-01,16686,2011,3
Fixed Price Vehicle Maintenance,2014-07-01,200,2014,7
Subscriptions To Other Libraries,2012-04-01,769.5,2012,4
Catering Staff,2011-04-01,285.97,2011,4
Other Local Authorities,2011-03-01,68708.7,2011,3
Estate / Site Management Costs,2013-10-01,12165.1,2013,10
Purchase Of Books,2013-10-01,564.3,2013,10
Special Guardianship Child In Need,2011-07-01,3737.4,2011,7
Short Term Care with Nursing,2013-05-01,19920.29,2013,5
Publicity-Advertising,2011-01-01,3120.04,2011,1
School Equipment Inspection/Testing,2012-04-01,12493.91,2012,4
Electrical & Mechanical Maintenance.,2012-09-01,10709.28,2012,9
Operational Staff - Scale A to J,2011-11-01,1641.32,2011,11
Boiler & Heating Repl M&E,2013-06-01,45808.4,2013,6
Child In Care Residential School 52 Week In Norfolk,2013-08-01,201824.08,2013,8
Short Term Care with Nursing,2013-04-01,16780.96,2013,4
Placement Cost - Agency Fee,2012-03-01,31534,2012,3
Child In Care Residential School 52 Week Out Of Norfolk,2011-06-01,187717.62,2011,6
Road Maintenance Contractor Payments,2011-11-01,63776.1,2011,11
Telephone Rental & Calls,2011-11-01,193158.51,2011,11
Personal Budget - Respite Residential Care,2011-03-01,14103,2011,3
Catering Staff,2013-06-01,316.09,2013,6
Purchase Of Equipment,2011-01-01,157870.69,2011,1
Highway Patching to Footway,2012-05-01,41288.91,2012,5
Non Staff Advertising - Discretionary,2011-10-01,27705.04,2011,10
Assistive Technology Equipment,2011-04-01,9139.59,2011,4
Other Professional Services,2012-10-01,38637.87,2012,10
Vehicle Repair Costs,2014-01-01,1867.31,2014,1
Bmf Boiler Servicing,2014-03-01,39372.27,2014,3
Highway Lighting Repairs,2014-07-01,3737.72,2014,7
Other (Photos Etc),2012-09-01,8481.94,2012,9
Construction Costs-Mobile Classrooms,2013-03-01,25279.46,2013,3
Compensation & Ex-Gratia Payments,2011-09-01,1850,2011,9
Library Books - Junior Non Fiction,2012-12-01,1056.5,2012,12
Generators & Repairs Arising,2012-05-01,2296.49,2012,5
Equipment Purchases,2014-06-01,120854.93,2014,6
Purchase Of Equipment,2012-06-01,947.52,2012,6
Highway Traffic Signals and Systems Outstation Communication Maintenance,2011-09-01,139126.59,2011,9
Foster Carer Allowance Special Purposes,2011-10-01,2198.59,2011,10
Care Leavers Independent Living Grant,2012-10-01,1000,2012,10
Staff Public Transport Costs,2014-02-01,10796.87,2014,2
Toilet Rolls/Requisites,2011-05-01,28.76,2011,5
Consultants Fees and Charges,2014-03-01,28517.14,2014,3
Postage & Postal Services,2012-03-01,10372.18,2012,3
Purchase Of Equipment,2014-07-01,18754.02,2014,7
Section 17 Financial Assistance,2013-07-01,3472,2013,7
Highway Street Lighting Non-Routine Maintenance,2014-08-01,3180.05,2014,8
Contract Transport  Hire,2014-04-01,2121895.7,2014,4
Grounds Maintenance Costs,2013-09-01,5809.79,2013,9
Contract Overheads,2011-10-01,118666,2011,10
Short Term Care with Nursing,2013-12-01,27753.92,2013,12
Building Alterations & Improvements,2011-09-01,4119.68,2011,9
Compact Discs,2012-04-01,1023.64,2012,4
Foster Parents Payments,2013-02-01,145498.37,2013,2
Highway Grass Cutting,2011-01-01,5890,2011,1
Sundry Purchases,2014-07-01,8.25,2014,7
Bmpp Fire Alarms,2014-04-01,10988.2,2014,4
Free Nursing Care  - High Band,2012-01-01,1196.8,2012,1
Highway Winter Salt Usage,2014-04-01,38538.04,2014,4
Contract Transport  Hire,2012-08-01,1677602.37,2012,8
"ICT Software Purchases, Licenses & Maintenance",2014-02-01,88487.69,2014,2
Bmpp Structural Builidng Work,2012-12-01,5145.88,2012,12
Actuarial Fees-Investment,2014-08-01,3600,2014,8
Sundry Purchases,2012-06-01,46300.57,2012,6
Certificate - Electricity Power & Light,2013-03-01,57517.61,2013,3
Private Voluntary Independent School Pre-school & Playgroup,2012-07-01,623025.68,2012,7
Printing Stationery and Photocopying,2013-08-01,65446.85,2013,8
Agency Staff - Operational Hay & M,2012-08-01,32225.09,2012,8
Highway Winter Salt Barn Availability Charge under PFI,2013-09-01,40218.78,2013,9
Sundry Purchases,2011-01-01,1717.44,2011,1
Purchase Of Land,2011-12-01,2566,2011,12
Child In Care Short Term Break,2014-01-01,22600.5,2014,1
School Equipment Inspection/Testing,2011-05-01,9124.14,2011,5
Management Fees - General,2012-06-01,333304.68,2012,6
Alterations To Service - Electricity,2012-08-01,30943.44,2012,8
Bmpp Gas Appliances & Repairs Test,2014-04-01,5200.14,2014,4
Fuel Oil,2011-07-01,1602.49,2011,7
Services Provided By Landlord,2013-11-01,1547.01,2013,11
Agency Staff - Drivers,2012-02-01,6926.36,2012,2
Electricity,2013-02-01,101869.07,2013,2
Architects Fees,2014-02-01,433,2014,2
Agency Staff - Operational Hay & M,2014-04-01,19853.33,2014,4
Direct Payment - Supp Families with Disabilities-Dom.Care,2014-06-01,7.18,2014,6
Vehicle Abuse/Wear & Tear Costs,2013-06-01,11648.39,2013,6
